committee,floor
Lost & Found,ground
Reception,ground
Layout Panel,ground
Luggage Deposit,ground
Dining Area,ground
Cafeteria,ground
GA1,first
GA2,first
GA3,first
GA4,first
GA5,first
GA6,first
HRC,second
ESCWA,second
CESCR,second
CSW,second
CSTD,second
CSocD,second
CCPCJ,second
Approval Panel,second
CW,third
SC,third
TC,third
HSC,third
AC,third
CC,third
FMI,third
